First,Last,Department,Salary,Position
Hayla,MICHAEL,Research,98858,Research Assistant
Chakyra,BENTLEY,Quality control,72867,Quality Analyst
Yachet,DURHAM,Research,89525,Research Associate
Keyvon,BOWEN,Finance,56374,Accounting Manager
Sicilia,BOYD,Production,70909,Envionmental Engineer
Daniel,WALKER,Human Resources,36089,Human Resources Manager
Inge,SUTTON,Production,59979,Senior Process Engineer
Ebonique,MALONE,Human Resources,35266,Human Resources Manager
Arsen,FRYE,Human Resources,47084,Recruiter
Vonda,RHODES,Production,73752,Process Engineer
Joscelynn,ROSALES,Finance,46407,Investment Manager
Osheanna,BENJAMIN,Production,71138,Senior Process Engineer
Jhanelle,ARNOLD,Research,97739,Research Associate
Adalia,MCKAY,Production,71859,Process Engineer
Chevie,AVERY,Human Resources,44963,Recruiter
Souleymane,SALINAS,Marketing and sales,52046,Sales Manager
Taylour,MILLER,Information Technology,79668,Senior Software Engineer
Jimmy,FOLEY,Finance,50115,Accountant
Pilar,MARTIN,Marketing and sales,51493,Sales Engineer
Talmadge,VILLA,Production,64818,Process Engineer
Aqeel,DUNLAP,Research,92340,Senior Research Associate
Janeth,STEIN,Marketing and sales,39244,Sales Manager
Kashawn,MCDONALD,Human Resources,40949,Training and Development Manager
Zadan,AVERY,Administration,98488,Department Head
Margeaux,OLSEN,Human Resources,45442,Human Resources Manager
Alyxis,MOORE,Production,65819,Senior Process Engineer
Tory,LOPEZ,Human Resources,47338,Recruiter
Kwesi,HOWE,Administration,97600,District Manager
Eliora,LEWIS,Marketing and sales,57284,Sales Engineer
Tiare,COLLINS,Research,95719,Senior Research Associate
Suley,STEELE,Administration,100682,District Manager
Brogan,NELSON,Research,86510,Research Assistant
Arianne,DORSEY,Quality control,69219,Quality Control Engineer
Dartavious,DELGADO,Research,94774,Research Associate
Tavares,GRAHAM,Administration,93091,Chief Executive Officer
Vittorio,WILSON,Information Technology,72521,Senior Software Engineer
Tymisha,NAVARRO,Human Resources,34941,Human Resources Manager
Jaskiran,MOSLEY,Finance,56105,Investment Manager
Guilherme,TRUJILLO,Research,87618,Senior Research Associate
Seda,EATON,Research,95255,Research Associate
Samba,VAUGHN,Production,75015,Controls Engineer
Olevia,SILVA,Quality control,66968,Quality Control Engineer
Sharanda,CARRILLO,Research,89718,Research Associate
Sarissa,AVERY,Administration,99600,Department Head
Trina,MOSES,Production,70117,Controls Engineer
Tylin,CARTER,Marketing and sales,51686,Marketing Consultant
Emmaly,MAYS,Information Technology,74894,Product Manager
Cullan,STEELE,Research,88124,Research Associate
Bladyn,RUSSELL,Marketing and sales,50867,Sales Engineer
Charleston,PRICE,Administration,99679,District Manager
Francois,HUTCHINSON,Administration,104005,Chief Financial Officer
Constantino,SUMMERS,Marketing and sales,52475,Sales Manager
Jaequan,CORDOVA,Marketing and sales,50392,Sales Engineer
Maili,COLLINS,Information Technology,83516,Senior Software Engineer
Khaira,COLEMAN,Research,103063,Senior Research Associate
Payne,BIRD,Research,90439,Senior Research Associate
Abbygale,RANDOLPH,Quality control,66977,Quality Assurance Engineer
Joscelynn,PERKINS,Research,92766,Research Assistant
Khallid,GILLESPIE,Information Technology,90206,Senior Software Engineer
Teana,PECK,Quality control,70775,Quality Assurance Technician
Neri,RITTER,Administration,104409,Department Head
Kadeja,HOLLOWAY,Information Technology,77042,Software Engineer
